bin,planimetrics_height,planimetrics_spot_height_calc,height_diff,decision
1089411,904,883,21,904
1090158,412,382,30,412
4618203,190,167,23,190
4113393,162,141,22,162
2129358,133,105,29,133
4615211,111,87,24,111
1090338,107,81,27,107
2128906,97,74,23,76
4798021,81,34,48,81
3421640,81,57,25,81
4798020,80,35,46,80
4798023,79,51,28,79
3418179,78,53,25,78
1090433,78,29,49,78
3083106,76,53,23,76
1090855,75,2,73,75
2128714,73,49,24,73
3418180,73,48,25,73
3413699,67,43,24,67
3413886,61,36,26,61
4798022,61,33,28,33
1090854,56,1,56,56
4618535,54,34,21,54
1090506,53,-52,106,53
4798015,46,23,24,46
5799501,44,18,26,20
5170614,42,22,21,22
4617788,40,-3,44,40
5799516,40,19,21,25
1795044,37,317,280,37
3421441,35,4,32,35
3413707,35,5,31,35
1795007,35,295,260,35
4044380,33,13,21,33
5164133,32,59,28,32
5164135,31,57,27,32
5164134,31,58,28,32
1090215,29,-3,32,29
2026604,27,3,25,27
4798016,19,-5,25,91
4597088,19,-4,23,19
2026602,18,-8,26,18
3322112,10,12,2,10
4618446,10,30,21,10
4617938,10,-16,27,10
4615625,10,8,3,10
3425825,10,12,2,10
3425824,10,11,1,10
4617738,10,13,4,10
5169222,10,8,3,10
2024794,10,16,6,10
3037822,10,15,5,10
4617939,10,-16,27,10
4615210,10,-2,13,10
5170513,10,11,2,10
1089861,10,13,3,10
5156988,10,12,2,10
4449978,10,11,1,10
3424088,10,11,1,10
4555040,10,12,3,10
4617940,10,-16,26,10
2129338,10,12,3,10
1090517,10,10,1,10
4615696,10,12,3,10
3427002,10,12,3,10
5169321,10,9,1,10
4562049,10,13,4,10
4615592,10,10,1,10
4620619,10,8,2,10
2128688,10,11,2,10
4605354,10,12,3,10
2126612,10,11,2,10
3399967,9,10,1,9
2129349,9,13,4,9
2128743,9,10,1,9
4519813,9,12,3,9
5167676,9,19,11,9
2006991,9,10,1,9
3399410,9,11,2,9
5169741,9,19,11,9
5169217,9,9,1,9
3399408,9,11,2,9
1090971,9,9,1,9
4617192,9,8,1,9
2101565,9,10,2,9
4614944,9,12,4,9
4618364,8,16,8,8
1090509,8,13,5,8
2123238,8,14,6,8
1088258,8,8,1,8
3380793,8,9,2,8
5159977,8,7,2,8
2128988,8,14,6,8
4615044,8,8,1,8
4519691,8,12,5,8
5170352,8,8,1,8
1795013,7,20,13,7
1795001,7,36,29,7
3421317,7,7,1,7
1084590,7,10,4,7
1086433,7,8,1,7
5169218,7,5,2,7
5169219,6,7,2,6
4607809,6,7,2,8
4795034,5,25,20,8
4439598,4,5,1,8
1795027,3,74,72,8
1795020,3,19,17,6
1090166,2,-1,3,12
4615204,2,10,9,12
